LocationID,Ptrip_count,Ppassenger_count,Pfare_amount,Ptip_amount,Ptotal_amount
106,2040,1239,38753.76999999997,2325.63,45058.83000000003
71,4068,739,89778.68000000031,1268.25,100101.32999999975
68,271,12,8738.129999999997,137.5,9880.340000000002
116,18790,19916,240362.28999999992,19164.71000000001,293280.650000007
147,1486,688,30983.01,494.02,35107.52000000002
198,1111,330,26302.629999999976,563.29,29785.44000000002
14,3871,994,108123.42000000007,1669.1799999999998,120050.20999999983
123,2075,491,48389.119999999995,745.55,54176.510000000075
242,6001,2057,122000.30999999988,2415.0,138464.219999999
158,15,"",544.26,8.25,612.9100000000001
248,1722,776,35643.89000000001,610.09,40611.11999999999
135,1398,564,32827.230000000025,659.0600000000001,36818.590000000004
42,48844,49918,586184.6399999983,30425.609999999986,699384.2100000404
119,2952,1262,67266.29999999997,1172.67,75889.7399999999
201,420,118,18437.939999999995,120.27,20586.909999999996
79,132,5,4012.5799999999995,58.900000000000006,4511.560000000001
2,1,1,3.0,0.0,6.59
131,1657,349,43242.64999999998,489.2,48075.76000000009
149,1237,300,28656.23000000001,301.57,32001.140000000047
118,19,18,944.06,12.22,1104.9
124,626,160,17949.78,191.2,19807.770000000008
30,18,25,923.8299999999999,8.25,974.8399999999999
99,1,"",67.16,0.0,82.45
184,80,54,2073.89,54.120000000000005,2414.39
66,16777,24520,260916.04000000004,42247.02999999997,343070.1000000089
67,818,199,22058.309999999994,263.70000000000005,24458.319999999996
46,274,88,10372.759999999998,200.21,11696.52
186,110,7,3560.8799999999997,19.25,4043.8000000000006
215,2958,692,82568.46000000025,1425.5500000000002,91656.02000000002
174,4279,1739,101214.95999999993,2484.23,114659.94999999963
172,6,8,182.7,2.75,217.73000000000002
252,556,213,15062.529999999995,231.98000000000002,17237.819999999992
153,643,397,12589.440000000002,338.4,14160.399999999998
144,94,7,2985.89,33.0,3264.3399999999992
18,2837,1346,70790.60999999996,1514.68,79903.0199999999
74,98094,123215,1060902.5399999984,112182.70999999945,1367562.2499997732
138,139,184,3022.18,400.53,3593.329999999999
180,371,148,10355.510000000002,113.18,11281.419999999998
134,9085,10113,121998.15000000014,9457.379999999996,145969.39999999804
36,2409,2246,50458.25000000001,4025.55,60473.00999999997
208,2046,729,47110.359999999986,1979.64,54458.99000000008
187,14,8,519.55,2.75,702.9300000000001
89,6141,2142,138290.05000000008,2786.500000000001,155085.15999999974
