LocationID,Dtrip_count,Dpassenger_count,Dfare_amount,Dtip_amount,Dtotal_amount
107,3304,2862,83049.83000000006,7444.869999999998,104619.98999999982
202,685,690,13033.550000000003,914.4899999999999,15565.38
17,11015,8931,167853.96000000037,9786.659999999996,195937.9799999979
231,3913,3543,95708.98999999999,7886.109999999999,119022.3299999996
9,1145,494,26233.189999999995,866.6399999999999,29276.030000000002
72,4523,1479,100621.66000000024,1900.1999999999996,112158.64999999973
175,630,404,16212.499999999989,707.15,18227.530000000002
35,5951,2160,135336.7400000001,2355.1699999999996,151404.93999999936
196,6237,6282,86594.78999999994,3749.5600000000004,99450.61999999956
217,1698,1574,33074.12999999998,876.02,37082.84000000007
229,3457,3631,74678.37000000004,7905.329999999998,96459.85999999968
173,6279,8280,74069.39000000003,2288.96,85004.10999999876
220,3128,2156,63922.20000000001,3609.5999999999995,74977.66000000002
114,1105,1284,23904.519999999993,3234.8599999999988,31598.14000000003
4,1412,1244,34299.08,2308.3699999999994,42253.800000000054
55,4502,2735,137816.8900000001,2012.4599999999996,149822.18999999992
59,139,77,2976.9399999999996,38.620000000000005,3368.0600000000004
241,2521,1430,56112.109999999964,1195.92,62806.91000000006
8,100,141,1022.8299999999999,109.54,1301.1900000000003
100,1697,1563,46444.59999999999,3505.2399999999993,57487.920000000006
161,4495,5178,96217.08000000003,11617.720000000007,125829.69999999931
39,6072,1442,160936.78000000032,2330.43,177543.65000000026
23,265,89,16318.309999999994,76.06,20364.979999999996
49,13769,13213,164812.2900000002,14521.489999999994,200024.24999999785
176,8,3,377.89,32.129999999999995,537.2299999999999
7,24115,31642,228372.65000000058,18746.299999999977,282897.1100000106
162,4443,4995,97307.42000000004,11554.490000000005,126985.03999999941
244,18040,19757,227629.47999999963,15932.300000000003,268847.2800000042
238,18521,22711,208017.51999999993,29630.54000000012,293007.8200000066
130,8409,5990,159471.30999999968,4510.9000000000015,179238.81999999925
136,3118,1581,73972.31,1834.5199999999998,82901.24999999985
84,2,2,71.5,0.0,86.34
247,6468,5732,89454.89999999997,2816.79,102275.3599999992
87,1984,1830,49644.01999999998,4253.17,62078.509999999966
171,1793,1349,38673.94000000001,1084.1399999999999,43199.28000000004
51,4326,1110,110530.4799999999,1626.1100000000004,123016.10999999965
194,688,393,16019.52,496.0,21644.509999999995
129,25269,34040,259777.40999999957,15838.920000000002,311330.7500000166
69,7094,5636,115050.74999999996,3046.7000000000007,130342.10999999862
166,24700,29866,217642.50999999998,24434.859999999953,271232.47000000806
97,15627,14642,183622.8200000005,13685.440000000002,220056.1799999979
264,4579,5152,71387.91,5574.429999999997,80426.16999999942
239,10693,13224,146340.69999999998,24102.390000000127,212287.61000000182
234,2675,2734,67404.24000000002,7602.579999999997,86295.1599999999
63,1814,814,47899.19999999999,905.94,53377.88000000003
102,2581,2378,40326.53999999998,2103.5199999999995,46794.210000000116
10,4177,2732,82874.1900000001,3606.3,94911.32999999999
77,2486,895,66482.9400000001,988.2200000000001,74041.17000000003
50,2672,2212,72557.40000000001,4850.139999999998,86743.42999999996
45,1934,1498,48919.890000000014,2166.51,58390.64000000006
216,5422,4412,112101.23000000023,4747.8600000000015,127287.19999999953
261,1241,1052,32403.529999999995,2344.3199999999997,40480.090000000026
38,1376,563,42085.39999999999,924.6500000000001,47094.05
181,17452,18083,210909.54000000033,21448.849999999962,257748.4500000017
82,17486,21251,191798.96000000002,6676.439999999996,222639.68000000107
249,1729,1891,40975.719999999994,5050.579999999998,53032.060000000005
167,3677,2668,62802.949999999975,1411.36,70990.97000000009
80,4113,4488,68141.3,5451.22,80262.01999999967
240,602,246,16223.79,252.95999999999998,17920.15
25,11071,10190,146468.11000000045,9057.799999999997,172495.0899999987
73,867,726,14966.950000000004,1036.39,17421.220000000005
245,25,11,1253.8100000000002,50.11,1600.7799999999997
237,8256,10105,132724.85000000012,17455.09000000005,182416.16999999998
113,1958,1823,47485.13999999999,5313.609999999999,60332.02
24,6202,7453,59069.870000000024,6227.489999999999,73470.3899999994
160,3528,4158,46792.58000000001,3317.900000000001,55319.10999999987
70,4462,5255,65101.65000000004,2995.6400000000012,75368.35999999958
62,4486,2899,76776.14999999995,3114.4100000000003,87764.44999999987
121,4739,4403,77974.72000000002,4086.5099999999998,89326.06999999977
125,788,660,21082.15,1665.6100000000006,25645.710000000017
156,254,248,15697.310000000001,234.2,18768.38000000001
143,3935,4361,73884.38000000003,9326.210000000003,98435.19999999956
219,1862,921,56243.50000000003,1180.69,61735.19
95,18036,20751,197840.43,15340.729999999998,239979.3200000021
226,11411,13082,173390.06000000026,8610.549999999994,200560.05999999808
29,2213,985,67543.24000000002,1186.97,73587.15999999989
21,1809,762,47802.32999999996,952.05,52505.090000000004
214,57,24,2555.6400000000003,104.99,3484.4300000000003
256,4438,5270,60326.950000000004,6264.809999999996,73264.3599999997
195,4433,4709,54659.76,4216.079999999998,65433.5999999998
98,844,500,20745.809999999994,516.5899999999999,23023.340000000004
90,2329,1828,68161.11000000003,4887.8099999999995,82460.18999999996
60,1835,1150,34826.22000000001,667.25,39163.830000000045
32,1746,753,37717.259999999995,667.55,42205.24000000007
75,38186,44169,392963.3099999999,27006.619999999948,475650.610000027
265,3714,3238,160215.73,8730.079999999996,182428.68999999948
203,1408,458,48469.89000000003,632.19,52850.82999999997
221,74,49,3631.1099999999997,30.35,4549.830000000001
151,14290,17186,143609.28,15786.900000000005,179224.95999999874
141,6717,7864,109884.04000000002,13995.390000000021,150401.33999999875
145,6377,7508,81874.51999999999,7194.740000000006,99190.80999999928
200,1518,924,35163.560000000005,1570.7500000000002,41311.38000000002
56,7885,9008,100714.16000000013,3462.3100000000004,116059.23999999848
254,3749,1421,99636.38000000006,1590.84,110656.19999999975
109,13,6,637.74,21.21,828.62
228,4454,3463,92601.09000000004,5129.600000000001,105316.95999999964
213,5716,2746,127977.22000000038,2649.3199999999997,145216.87
170,4220,3622,109614.77000000008,9081.419999999998,138892.46999999965
188,9996,5113,184102.85000000038,8134.299999999996,210054.72999999818
58,217,100,5464.3099999999995,205.97,6195.359999999999
33,11615,12548,131726.52000000043,13486.280000000004,161310.32999999815
11,1104,343,30697.449999999983,536.63,33718.77
204,9,5,721.6,0.0,881.6999999999999
150,1500,931,29486.41,1246.85,33477.34
83,6017,7823,61770.98,2915.3800000000006,72964.74999999921
260,10807,14664,114941.41000000009,5408.76,135450.0799999969
106,3563,3425,43985.84999999998,4130.900000000001,53457.95000000007
68,3455,3175,91901.88000000002,8341.14,114729.77999999972
71,4211,1327,86150.28000000022,1525.8900000000006,96096.42999999979
116,17033,19369,164539.25000000015,12014.589999999997,198969.65999999864
147,1913,1209,34615.57000000001,656.26,39080.76000000007
14,4586,2279,123526.94000000005,6501.7300000000005,139898.11999999962
198,2772,2659,54943.27000000003,2402.21,62260.86999999999
123,2139,689,48021.379999999976,888.8899999999999,53129.37000000003
158,944,985,24040.14,2892.0099999999993,30735.080000000038
242,5498,1630,110678.77999999991,2100.3799999999997,124409.95999999903
135,4870,5139,69206.31000000006,4730.619999999999,81544.27999999959
248,1986,1231,38342.48,781.87,43220.830000000045
42,47052,52117,428871.62,21437.64999999998,513146.06000004505
119,4099,2928,74686.55999999997,1346.24,84231.26999999987
79,3175,3319,72038.66000000002,7926.990000000001,92825.6499999997
201,532,192,21544.329999999994,428.21,24295.389999999996
2,22,2,959.94,8.25,1086.0700000000002
131,2577,1635,55639.06999999999,1758.12,62486.270000000135
149,1480,374,34518.099999999984,682.45,38528.770000000055
118,42,34,2194.58,116.44000000000001,2808.2799999999997
124,954,420,26592.730000000003,650.5,29439.98
30,46,41,2224.8,31.2,2389.1099999999997
99,2,1,180.2,2.75,219.79000000000002
184,280,68,8356.400000000001,136.7,9400.600000000002
66,5335,5999,58172.21000000002,6244.259999999996,71441.25999999957
67,1164,517,29377.91,651.8800000000001,32410.879999999997
186,2839,2926,72474.84000000001,7866.949999999999,92256.01999999974
46,312,164,11752.439999999999,261.85,12925.170000000002
215,5070,3571,93648.01000000017,4042.1700000000005,107388.30999999992
174,3666,1369,81703.61999999991,1594.1899999999998,91673.41999999977
172,18,16,907.17,47.949999999999996,1195.63
252,1162,985,26224.439999999995,1135.3400000000001,29912.92000000003
153,700,485,13094.509999999998,556.1,14813.869999999999
144,1442,1662,27251.62,3422.8999999999987,36152.060000000034
18,3234,2007,69761.10999999994,1806.3599999999997,78461.40999999995
74,49191,58526,440479.55,29587.579999999947,538857.1100000456
138,10140,13690,180251.97999999998,29122.729999999952,234991.26000000164
180,633,374,16491.76,432.96000000000004,18261.069999999996
134,5787,6148,76940.30000000003,5047.389999999999,91471.35999999946
36,2786,2541,53549.52999999999,3751.750000000001,62257.52999999997
208,2305,1243,53991.63,2368.3599999999997,62224.410000000076
187,40,32,2014.16,36.96,2535.4300000000003
89,8634,5070,180892.0900000002,8313.88,206004.76999999888
