pick_date,trip_count,passenger_count,fare_amount,tip_amount,total_amount,avg_duration
2020-04-01,1482,1342,22180.400000000005,950.1,25708.519999999982,967.6079880426728
2020-04-02,1403,1321,21053.31,848.21,24345.609999999982,849.7580414930541
2020-04-03,1525,1321,23874.67999999999,1011.4900000000002,27510.669999999976,969.5788618719162
2020-04-04,1138,1055,16454.81,733.1900000000002,18911.75999999999,952.9798481377817
2020-04-05,712,671,12103.35,644.7699999999999,14024.220000000001,1077.262536847842
2020-04-06,1282,1036,21405.800000000003,1000.3000000000001,24708.819999999996,1058.9116168425683
2020-04-07,1135,868,19311.179999999997,703.43,22101.669999999995,898.9963863386711
2020-04-08,1170,926,19553.670000000002,1118.63,22752.269999999993,1483.450651415712
2020-04-09,1156,927,19230.040000000008,1733.9899999999998,23011.349999999995,1064.571780506142
2020-04-10,1225,957,19927.429999999997,1868.94,23873.97999999999,959.0154024149571
2020-04-11,958,807,14783.949999999997,1321.3899999999999,17424.969999999998,1082.1677988910199
2020-04-12,608,473,10856.21,858.87,12909.82,1245.2598359578162
2020-04-13,972,732,16887.43,1665.0799999999995,20474.16,822.9920382156824
2020-04-14,1198,889,19586.500000000004,1885.1899999999998,23583.78999999999,909.7033704191399
2020-04-15,1239,974,20759.710000000003,1806.0399999999997,24755.61999999999,1167.5143281744033
2020-04-16,1259,946,19498.4,1782.76,23502.19999999999,918.79025847486
2020-04-17,1397,997,23339.41,2122.7400000000002,27900.019999999993,1028.3305283598995
2020-04-18,974,819,15175.820000000002,1294.25,17913.499999999993,988.7390954524736
2020-04-19,692,602,10597.630000000001,941.8700000000002,12642.02,1152.288047831952
2020-04-20,1226,957,20059.68,1858.09,24120.05999999999,1147.0337076251383
2020-04-21,1079,831,17971.48,1692.4499999999998,21763.089999999997,1121.940985375429
2020-04-22,1284,913,22027.560000000005,2197.73,26525.60999999999,1057.3085761149541
2020-04-23,1274,930,21427.83000000001,1986.5600000000002,25749.119999999984,934.38211412296
2020-04-24,1271,912,21370.240000000005,1928.0900000000004,25623.109999999993,1004.8717704309817
2020-04-25,1134,882,18004.92,1499.68,21161.41999999999,985.1548663546969
2020-04-26,666,488,11395.710000000001,970.24,13613.000000000002,1018.3583831019574
2020-04-27,1394,949,24111.21000000001,2207.7400000000007,28994.109999999993,1023.4404881106142
2020-04-28,1501,962,27793.079999999994,2617.6300000000006,33208.76999999999,1060.4299021999427
2020-04-29,1576,993,29200.22,3136.83,35346.359999999986,978.809665966823
2020-04-30,1677,951,30886.54,2787.4100000000003,36798.97999999999,1020.2341645256246
2020-05-01,2026,1202,36028.26000000001,1998.1000000000001,41929.609999999986,1134.362668315823
2020-05-02,1508,1051,25025.17,1531.1799999999998,28889.27999999999,1031.3868972487955
2020-05-03,1011,654,18418.03,988.5500000000001,21197.6,876.6265939031341
2020-05-04,1822,1173,35248.11,1870.8999999999999,40693.29999999998,1192.8147392250241
2020-05-05,1930,1099,35403.49000000001,1849.6299999999999,40970.479999999996,1044.247048880059
2020-05-06,2293,1333,43848.43,2079.8399999999997,50314.18999999999,1275.8257837671192
2020-05-07,2270,1178,43551.93,2097.100000000001,49945.229999999996,1062.4289256483894
2020-05-08,2167,1139,41331.95000000001,2076.0799999999995,47627.409999999996,1132.9666370608227
2020-05-09,1594,1021,27781.45,1578.72,32168.049999999996,975.5738205618092
2020-05-10,1341,900,24194.860000000004,1261.1100000000001,27850.899999999994,1081.9996268397263
2020-05-11,2143,1081,42935.18,2014.6999999999998,49177.579999999994,1223.571570362608
2020-05-12,2293,1097,44352.28000000001,2024.7200000000005,50828.43999999999,1200.0927817528775
2020-05-13,2458,1212,48206.89000000001,2040.6599999999999,55370.57999999999,1155.3631571403782
2020-05-14,2417,1185,47733.49000000001,2200.83,54590.01999999999,1276.136396735488
2020-05-15,2562,1347,51366.329999999994,2355.8700000000003,58690.82999999998,1249.3340081633603
2020-05-16,1875,1113,33354.14000000001,2024.26,38616.09,1007.6947993278159
2020-05-17,1272,768,24422.280000000006,1227.7,27987.849999999995,1090.370584858993
2020-05-18,2019,1405,35243.44000000001,2399.49,41460.67999999998,966.789227699625
2020-05-19,1843,1410,32957.82,2705.3599999999997,39048.379999999976,1119.2194214771473
2020-05-20,1917,1430,34252.69,2885.1399999999994,40644.18999999998,1186.8418436907643
2020-05-21,1826,1400,32617.190000000002,2530.9799999999996,38878.359999999986,1194.2273680355668
2020-05-22,1885,1393,31442.960000000003,2686.21,37542.30999999999,1027.902261282746
2020-05-23,1399,1070,24267.820000000003,1814.2699999999998,28448.34999999999,1047.71704753913
2020-05-24,1001,754,18803.16,1476.1800000000003,22023.92,1133.704071863578
2020-05-25,1274,908,22597.039999999997,1705.1199999999997,26546.709999999995,1059.2740980878698
2020-05-26,1954,1404,34795.520000000004,2813.0299999999993,41309.999999999985,1191.209543253271
2020-05-27,2140,1467,39707.12999999999,3559.4900000000007,47419.44999999999,1266.0783719008357
2020-05-28,2045,1556,35823.130000000005,2871.0300000000007,42481.349999999984,1109.3794676912705
2020-05-29,2184,1701,37512.520000000004,3045.0,44521.18999999999,1072.5874891530746
2020-05-30,1672,1442,28195.46,2322.77,33319.62999999999,1109.031708842205
2020-05-31,1219,1045,20844.23,1641.7299999999998,24628.79,1229.7899168329532
2020-06-01,1971,1521,34639.880000000005,2640.1600000000003,41079.50999999999,1058.3420909460383
2020-06-02,1896,1476,33758.07,2672.5400000000004,40081.889999999985,1283.4289640286263
2020-06-03,2166,1536,37328.850000000006,3208.1099999999997,44621.19999999998,1095.7044987753259
2020-06-04,2157,1575,37571.090000000004,3296.73,44971.34999999999,1185.1061350865764
2020-06-05,2323,1755,40920.26,3626.38,49200.24999999999,1218.671940123185
2020-06-06,1849,1549,31675.30000000001,2686.1399999999994,37744.77,1156.8262584116512
2020-06-07,1425,1089,26050.679999999997,2134.0299999999997,30911.80999999999,1158.7387923879126
2020-06-08,2218,1624,38895.37000000001,3360.7300000000005,46421.53999999997,1114.074587826292
2020-06-09,2244,1667,39696.69000000002,3377.0099999999998,47175.73999999999,1322.9464039756758
2020-06-10,2329,1605,41077.549999999996,3616.209999999999,49274.919999999984,1298.067525475233
2020-06-11,2174,1616,37629.66,3330.7300000000005,44978.09999999998,1230.1391185289501
2020-06-12,2350,1766,44421.12,3726.2899999999995,52769.45999999998,1242.9880584362004
2020-06-13,1809,1411,29325.330000000005,2462.87,34492.349999999984,967.6920208344162
2020-06-14,1388,1149,23633.629999999997,2023.65,28116.45999999999,1139.294915132544
2020-06-15,2176,1546,46144.45999999999,3484.4900000000002,53558.239999999976,1430.826262772592
2020-06-16,2165,1509,47228.879999999976,3814.4199999999996,54760.74999999997,1268.7904012348904
2020-06-17,2247,1548,49474.02999999998,3755.5600000000004,57376.96999999999,1168.629380848507
2020-06-18,2286,1706,49842.93999999999,4454.120000000001,58794.26000000001,1189.3056007305054
2020-06-19,2407,1883,51320.63,3993.7,59844.47999999999,1321.816907753609
